iter	Logloss
0	0.6768391113
1	0.6634403539
2	0.648145702
3	0.6341924453
4	0.6208989539
5	0.609136293
6	0.5982491923
7	0.5873799091
8	0.57703729
9	0.5682763957
10	0.5598930723
11	0.5516016669
12	0.543445199
13	0.5361525028
14	0.5293523046
15	0.5229306144
16	0.5168298885
17	0.5111481665
18	0.5054579472
19	0.5004763916
20	0.4960872055
21	0.4918944931
22	0.4876820689
23	0.4835287562
24	0.4798655766
25	0.4765697201
26	0.4735107097
27	0.4705880896
28	0.4680486218
29	0.4652903886
30	0.4625291858
31	0.460062653
32	0.4574443172
33	0.4552578324
34	0.4529914783
35	0.4508557826
36	0.448925899
37	0.4470583738
38	0.4452763179
39	0.4435682633
40	0.4418966071
41	0.4403516569
42	0.4386977087
43	0.4373193964
44	0.4359012035
45	0.4344420603
46	0.4331429692
47	0.4318973093
48	0.4306253495
49	0.4292685811
50	0.4281965356
51	0.4268965677
52	0.4259330399
53	0.4247976018
54	0.4239390107
55	0.423054993
56	0.4221700343
57	0.4213181789
58	0.4205097127
59	0.4197686669
60	0.4192193049
61	0.418582897
62	0.4180064478
63	0.4173210429
64	0.4168175397
65	0.4161793561
66	0.4155510137
67	0.4146882984
68	0.4141090708
69	0.413495535
70	0.4130707119
71	0.4123777863
72	0.4119215198
73	0.4114884346
74	0.4108694201
75	0.4103466873
76	0.4097764488
77	0.4094102529
78	0.4090125167
79	0.4083686764
80	0.4079389114
81	0.4075159076
82	0.4070312333
83	0.4066755572
84	0.4065117965
85	0.4062188309
86	0.4058971809
87	0.4054472399
88	0.4050804611
89	0.4048071603
90	0.4043649724
91	0.4039742371
92	0.4036812684
93	0.4034039205
94	0.4031006702
95	0.4028145751
96	0.4024780409
97	0.4021326247
98	0.4018385502
99	0.4015126036
100	0.4012572365
101	0.4008209925
102	0.4005987077
103	0.4002596561
104	0.400029443
105	0.3996819704
106	0.399360023
107	0.3990515513
108	0.3988474262
109	0.3984883922
110	0.3982940749
111	0.398043151
112	0.3978937547
113	0.3977267528
114	0.3973947117
115	0.3970659628
116	0.396871184
117	0.3967017319
118	0.396445591
119	0.3961813064
120	0.3959608087
121	0.3956100173
122	0.395409604
123	0.3952441611
124	0.3950337793
125	0.394877264
126	0.3947218819
127	0.3945225905
128	0.3943615975
129	0.3941261417
130	0.3939207544
131	0.3937040854
132	0.3935383842
133	0.3933668131
134	0.3931963667
135	0.3930765672
136	0.3929000177
137	0.3926091821
138	0.392374267
139	0.392192387
140	0.3921036914
141	0.3919179045
142	0.3917387682
143	0.3914881125
144	0.3912906509
145	0.3911180938
146	0.3908691588
147	0.390696057
148	0.390541727
149	0.3903288998
150	0.3901555834
151	0.3899288112
152	0.3897527584
153	0.3896224078
154	0.3893709621
155	0.3891990472
156	0.3889843667
157	0.388884105
158	0.3887719232
159	0.3885563111
160	0.3883920284
161	0.3881652485
162	0.388035495
163	0.3878942666
164	0.387694708
165	0.387488793
166	0.3873574262
167	0.3872183164
168	0.3870571042
169	0.3867999134
170	0.3867958293
171	0.3866734258
172	0.3864532924
173	0.386310525
174	0.3861393131
175	0.3859985903
176	0.3859466862
177	0.3858358166
178	0.3856940977
179	0.3855362154
180	0.3853975824
181	0.3852631588
182	0.3851895678
183	0.3850495177
184	0.384950037
185	0.3848315512
186	0.3847234054
187	0.3846017455
188	0.3844786657
189	0.3843158346
190	0.3841806775
191	0.3840744113
192	0.3839057587
193	0.3837577225
194	0.3836892872
195	0.3835926275
196	0.3833800367
197	0.383270941
198	0.3831558038
199	0.3830360179
200	0.3828747936
201	0.3827262081
202	0.3825831747
203	0.3824069055
204	0.382266783
205	0.3822073528
206	0.3821061064
207	0.3819596987
208	0.3818462923
209	0.3816756218
210	0.3816082726
211	0.3815132336
212	0.3813510439
213	0.3812539273
214	0.3810692236
215	0.3808890565
216	0.380667748
217	0.3805308328
218	0.38031626
219	0.3802409042
220	0.3800981919
221	0.3800046028
222	0.3798639855
223	0.3797563316
224	0.3796168209
225	0.3795473847
226	0.3794204914
227	0.3793567792
228	0.3791373991
229	0.3790597507
230	0.3789593268
231	0.3788396342
232	0.3786898666
233	0.3785618575
234	0.3785024717
235	0.3784890612
236	0.3783648223
237	0.3782874805
238	0.3781819085
239	0.3780294281
