,Contract_Month-to-month,PaymentMethod_Mailed check,TechSupport_No,OnlineSecurity_No,Monthly/Total_Charges,tenure,PaymentMethod_Electronic check,InternetService_Fiber optic,tenure_group,OnlineBackup_No,Contract_Two year,PaperlessBilling_Yes,DeviceProtection_No,InternetService_No,Contract_One year,OnlineSecurity_No internet service,SeniorCitizen_1,InternetService_DSL,Dependents_Yes,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_Yes,TechSupport_No internet service,PaymentMethod_Credit card (automatic),PaymentMethod_Bank transfer (automatic),StreamingTV_No internet service,Partner_Yes,OnlineSecurity_Yes,TotalCharges,StreamingMovies_No internet service,MonthlyCharges,TotalCharges/tenure,StreamingTV_No,StreamingMovies_No,OnlineBackup_Yes,gender_Male,DeviceProtection_Yes,StreamingMovies_Yes,StreamingTV_Yes,MultipleLines_Yes,MultipleLines_No,PhoneService_Yes,MultipleLines_No phone service
MRMR,44314427.42285887,3538.278774842412,1098.2150068472133,1031.4239749316919,1020.2745567156015,984.4591087152945,900.9056822113766,895.1181936528825,785.7714099755821,771.6821476531483,704.9697418931197,606.7000899934992,568.9817715445953,492.82396833483403,473.5511798703929,445.06011531807553,429.1912422682911,423.61776080449766,414.3317161838143,406.47721999572167,381.70910964208815,380.02961455226085,369.56363963695895,362.7403792013868,352.54220089434335,350.93654924546985,349.0565407731131,334.43567620844874,334.2283757148764,331.3369559733262,238.48106297177227,234.00786718400636,220.33223083287294,207.61755101623172,96.47279817092048,75.52761092725738,38.06084914756927,34.66230908458069,30.361302947823958,20.654480429292324,13.325650607948743,4.720152762213131,3.9341360934454506
Xgb_Selection,0.333469957113266,0.006196208298206329,0.022777335718274117,0.024641480296850204,0.014675682410597801,0.008393361233174801,0.011499532498419285,0.3236577808856964,0.0,0.009512756019830704,0.016386322677135468,0.00938919372856617,0.00508325919508934,0.009808707050979137,0.014357496052980423,0.0,0.006928868126124144,0.025578927248716354,0.008352404460310936,0.0,0.0,0.006001217290759087,0.0,0.006517187226563692,0.006945182103663683,0.0,0.005589139647781849,0.0061244904063642025,0.009501262567937374,0.0,0.009158290922641754,0.009169736877083778,0.007758318446576595,0.010198039934039116,0.00862050149589777,0.007555894088000059,0.005777318496257067,0.012006562203168869,0.003924813587218523,0.007256907410919666,0.010144796222448349,0.017041122540831566,0.0
GBM_Selection,0.37934750587372856,0.0010836116507649137,0.043192856836783367,0.06636737767540274,0.17756621381875767,0.00933942934480555,0.038939205401221665,0.08516242754489946,0.0,0.006819661169358738,0.004624428270163825,0.016416700049163357,9.234139509657474e-05,0.0,0.006703875712014642,0.0,0.007841895644012255,0.0,0.002904434936785724,0.00010274649050923994,0.0,0.00016222844055770926,0.0,0.0007169857420772251,0.0025065961654129557,0.0,0.0,0.0,0.043865860336613126,0.0,0.041069535519306054,0.04463403046150763,0.0007451877844147184,0.0,0.0003099789787731485,0.0016455710735394666,0.0004574179464565132,0.004761454119777452,0.001330078543031292,0.0002474744152933888,0.008164310012044162,0.0024783318753189803,0.0004002467724078344
Rf_Selection,0.04916054351007864,0.009534494265889319,0.020576352717349897,0.023389991421814478,0.12387714987621051,0.08300387072248763,0.022017282037192262,0.025658922139078316,0.03350097202355144,0.012599572611727883,0.01748399754504637,0.019294033074470366,0.011669946264437323,0.0018634464724810959,0.007872967344211841,0.0028848990431320437,0.015071325443977455,0.00973216113023956,0.014303150166358313,0.002954390417274963,0.0025162140935238897,0.009663977533871727,0.004477609365184476,0.010087561725668477,0.009733993701546158,0.0034012802106525054,0.016881488811385712,0.009473473501229016,0.10916275100301066,0.004532442294006738,0.10458528234348044,0.10874467890838704,0.0085795021084569,0.008357130022506333,0.01007848870799003,0.02113091615006132,0.00932216261118168,0.009038436921777755,0.008493430189198951,0.009736171958955186,0.010258828730018042,0.002439516117279449,0.002855194763617641
Lasso_Selection,0.0,-0.0,0.0,0.0,0.0,-0.002120989100710458,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.180496012359055e-05,-0.0,0.0032181446382531812,0.0039492088884536146,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Catboost_Selection,7.754812130033808,0.4855622420980743,1.8293910346416518,1.8721223198668686,11.228023638851065,11.126880403934814,2.4586719677022915,6.019545081297403,4.88585035596421,0.33626098738486043,5.996928988021031,2.2291999524716495,0.046849085219999066,1.4336304777943016,0.8426545190876954,0.3848219492219367,1.1552743112872486,0.6813706931436745,1.2782241179955625,1.0825247909913462,0.9810097386627811,0.782617039225739,0.30683552579076984,0.6106896299146939,0.3731205698254262,0.13778360600030112,0.1911266191295947,0.48770273658937785,9.633032966583047,0.020161966235076798,7.901611748409003,8.746105863242676,0.7709848367499237,0.5027207585624226,0.421008399446973,1.0407302007375474,0.027585273724461942,0.699308149026442,0.22717064848511426,0.8237173627964083,1.2887097646455867,0.41805229668219546,0.4796152525249902
RFE_Selection,1.0,1.0,6.0,1.0,11.0,19.0,1.0,1.0,13.0,9.0,1.0,12.0,15.0,10.0,1.0,2.0,14.0,1.0,16.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,17.0,1.0,23.0,1.0,21.0,22.0,4.0,1.0,8.0,18.0,20.0,1.0,5.0,1.0,1.0,1.0,3.0
PCA_Selection,9.148513794434692e-33,9.148513794434692e-33,2.5506822051442105e-08,5.022974275776245e-08,9.148513794434692e-33,9.148513794434692e-33,9.148513794434692e-33,5.677608812301973e-08,9.148513794434692e-33,4.3003956331613496e-08,9.148513794434692e-33,9.148513794434692e-33,3.9175332816405955e-08,5.411124903429383e-08,9.148513794434692e-33,4.8546528983637464e-08,0.00022225964912022972,6.055500231173205e-08,1.000796732165669e-06,4.2710638391842955e-08,3.4646977170015396e-08,1.890184041673581e-08,2.4596428601619244e-08,9.148513794434692e-33,9.148513794434692e-33,6.7174340124586355e-09,1.8476707329200305e-05,4.5400296885272076e-08,9.148513794434692e-33,9.148513794434692e-33,9.148513794434692e-33,9.148513781939147e-33,1.7255596987988705e-08,9.148513794434692e-33,4.168288533316445e-08,0.9997571689914317,2.7761090225939397e-08,9.148513794434692e-33,2.0497377987655206e-10,6.523863315369868e-08,1.0592167019600581e-07,2.0644764926967774e-07,7.846454953210362e-08
Shap_Selection,0.8437142372131348,0.05439762771129608,0.16512326896190643,0.2565397024154663,0.520521879196167,0.2831977903842926,0.1914868801832199,0.12791909277439117,0.0,0.07524099200963974,0.2006348967552185,0.13764207065105438,0.030057180672883987,0.00834385585039854,0.12939141690731049,0.0,0.09750838577747345,0.05285169556736946,0.045733675360679626,0.0,0.0,0.02918551303446293,0.0,0.03466719016432762,0.05737625062465668,0.0,0.04022958129644394,0.020039381459355354,0.29755690693855286,0.0,0.3771491050720215,0.32456210255622864,0.04104112833738327,0.042408376932144165,0.03838541358709335,0.06557450443506241,0.015931129455566406,0.06432657688856125,0.049386367201805115,0.03743131086230278,0.1175076887011528,0.03616120666265488,0.0
