,Contract_Month-to-month,PaymentMethod_Mailed check,Monthly/Total_Charges,OnlineSecurity_No,InternetService_Fiber optic,tenure,PaymentMethod_Electronic check,TechSupport_No,OnlineBackup_No,tenure_group,Contract_Two year,PaperlessBilling_Yes,InternetService_DSL,DeviceProtection_No,SeniorCitizen_1,OnlineSecurity_Yes,Contract_One year,InternetService_No,Dependents_Yes,OnlineSecurity_No internet service,OnlineBackup_No internet service,Partner_Yes,DeviceProtection_No internet service,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),TechSupport_No internet service,TotalCharges,StreamingTV_No internet service,MonthlyCharges,StreamingMovies_No internet service,TechSupport_Yes,StreamingMovies_No,OnlineBackup_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_Yes,DeviceProtection_Yes,MultipleLines_Yes,gender_Male,MultipleLines_No phone service,MultipleLines_No,PhoneService_Yes
MRMR,37419906.342195265,15661.258157279213,974.6911385241877,949.7250360820213,794.0080173132034,771.6002549783765,737.5609010896892,731.5523045972794,719.2877760420416,679.5932922595026,590.6624969951281,499.92647056039795,450.08490484394457,441.54909731674087,427.3325234665825,376.138730476431,371.6783170462961,346.64424353608075,344.36370947417186,306.7300683901298,289.78397763285574,280.05004647691334,274.4147193224108,266.69418565836446,265.5409219200564,262.2825821476844,256.34803371739815,249.9599449362921,249.76101616148358,236.73732506261672,213.80624271703007,114.94502948504623,110.13055009868488,86.8085590045817,67.12766924227024,40.459291229419456,31.221487245725616,20.9671781153898,10.81172902672374,9.916349355421355,8.8731323152754,8.649424007712438
Xgb_Selection,0.4333840310573578,0.006480586249381304,0.012112877331674099,0.027502264827489853,0.24124440550804138,0.0066078100353479385,0.008873404935002327,0.010179322212934494,0.009058956056833267,0.0,0.01748760975897312,0.0094113415107131,0.02499712072312832,0.006370352115482092,0.009447197429835796,0.005900876596570015,0.014034634456038475,0.0,0.007649476174265146,0.0,0.0,0.005619479343295097,0.0,0.0066392687149345875,0.006702519953250885,0.0,0.008078478276729584,0.0,0.008310514502227306,0.0,0.0067092012614011765,0.008717802353203297,0.005839535500854254,0.009675020352005959,0.005905368365347385,0.01587236486375332,0.006266923155635595,0.008000979200005531,0.006470500957220793,0.0,0.011682885698974133,0.028766877949237823
GBM_Selection,0.38707149650156253,0.00024519985340220435,0.1846300745360179,0.06928394213574636,0.07302081091547963,0.013605413974209536,0.03655662985180983,0.03944080134471872,0.007782764128259777,1.5675185470596294e-05,0.009581395250460896,0.014942860785389749,0.0,0.0001823481408767215,0.006875421419300445,0.0,0.0025183512320385115,0.0,0.0028052675531261267,0.0,0.0,0.00025150975331127216,0.0,0.0007124244923257082,0.0013038022135093827,0.0001458875885342788,0.04826633933780459,0.0,0.07057125164319887,0.0,0.0009747118539095906,0.0,0.00028281173390658633,0.0007443290515725621,0.0026488031092763266,0.008086542198829434,0.0012546897993960743,6.811484919829457e-08,0.002100159410557342,0.0017370048918333959,0.011067504081798152,0.0012937079175176585
Rf_Selection,0.05653639201204333,0.01057500999837489,0.12617402360689722,0.033937077607414254,0.01815473544369691,0.0957836142143089,0.028884991805778706,0.02862577655778728,0.01657298100333162,0.03400179541839544,0.00944985612214998,0.02225821540831247,0.012846088146239736,0.013189843381026925,0.017591977936522892,0.01010948909573283,0.008345834256892998,0.001447446539948847,0.01653739554256914,0.0016193562230499053,0.0014940289762789324,0.02049275427946673,0.002570464319447895,0.010981587554307259,0.010805359413259876,0.0024327898620673596,0.12961036189350147,0.002604072138004698,0.12530648256668744,0.003470416636867146,0.008862051442189893,0.010286712084018004,0.010920615076820912,0.009995705552242724,0.01055470130922086,0.011098878212167618,0.010573096675172158,0.012273147036532386,0.02338175904577603,0.003710782217942263,0.012663222437910258,0.003269110949643774
Lasso_Selection,0.0,-0.0,0.0,0.0,0.0,-0.0023074153670123772,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.850987148603745e-05,-0.0,0.00700477276715412,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
Catboost_Selection,9.359196011516856,0.8530258827199901,13.28129885752822,2.580334935116709,6.232332050563776,10.076286701886762,1.7229611656933417,2.32204966756854,0.4490703487967388,4.78001075636579,5.71391776394661,2.5823152708601085,0.35484032762377693,0.129455497852656,1.31023215312476,0.2598724945611486,0.9327122768057873,0.569881686568182,0.49476601805986953,0.3041093841496292,0.7203179659524489,0.1722583000086993,0.33888043856610556,0.26603686945519767,0.6498046648778467,0.0006860991742532321,9.70736108625698,0.1389283005265378,14.403567815299334,0.09273840551975036,0.47237916284688614,0.34976526125298885,0.7752767845034778,0.5381017345125239,0.6797011611889787,1.6127956414090794,0.6013076107100079,0.7645657529879282,0.960894984714251,0.27193784029699986,1.709766859566553,0.46425800906389586
RFE_Selection,1.0,1.0,11.0,1.0,6.0,19.0,1.0,12.0,8.0,15.0,1.0,13.0,5.0,9.0,14.0,1.0,1.0,3.0,18.0,1.0,1.0,17.0,1.0,1.0,1.0,4.0,22.0,1.0,20.0,1.0,21.0,1.0,7.0,2.0,1.0,1.0,10.0,1.0,16.0,1.0,1.0,1.0
PCA_Selection,9.843737096944295e-33,9.843737096944295e-33,9.843737096939912e-33,4.841353576485961e-08,5.383250546610202e-08,9.843737096944295e-33,9.843737096944295e-33,2.4408342133436987e-08,4.242611619229974e-08,9.843737096944295e-33,9.843737096944295e-33,9.843737096944295e-33,5.597822530566509e-08,3.464022971098506e-08,0.00012026098982951019,4.328286050447882e-08,9.843737096944295e-33,5.0242605258368215e-08,2.054572621111998e-07,4.54620965398847e-08,4.1342323560975264e-08,1.6513050526711446e-05,2.765238346976576e-08,9.843737096944295e-33,9.843737096944295e-33,1.8776468873748908e-08,9.843737096944295e-33,2.019120508281569e-10,9.843737096944295e-33,9.843737096944295e-33,1.707891098834815e-08,9.843737096944295e-33,3.876028584389429e-08,6.632367141816603e-09,9.843737096944295e-33,9.843737096944295e-33,2.537318524036879e-08,6.029206642087586e-08,0.9998621376426078,6.502109389020106e-08,7.723708416199447e-08,1.0580517509314931e-07
Shap_Selection,0.8685275912284851,0.056429021060466766,0.500294029712677,0.27359142899513245,0.11948251724243164,0.3424743711948395,0.1492023468017578,0.16911472380161285,0.1018819734454155,0.0,0.20676089823246002,0.12435415387153625,0.04670974239706993,0.042532265186309814,0.07019715756177902,0.016828207299113274,0.11416441202163696,0.0,0.05121840164065361,0.0,0.0,0.05675730109214783,0.0,0.04593256115913391,0.039798393845558167,0.0,0.3237443268299103,0.0,0.5175951719284058,0.0,0.03738812729716301,0.028941668570041656,0.00957215391099453,0.03731665387749672,0.03034738264977932,0.06670263409614563,0.019118474796414375,0.039815548807382584,0.07580889761447906,0.0,0.08839629590511322,0.03636987879872322
